Source,Target,Type,Id,Label,Weight
60.0,58.0,Undirected,151,,4.0
60.0,59.0,Undirected,152,,2.0
61.0,48.0,Undirected,153,,2.0
61.0,55.0,Undirected,158,,1.0
61.0,57.0,Undirected,157,,1.0
61.0,58.0,Undirected,154,,6.0
61.0,59.0,Undirected,156,,5.0
61.0,60.0,Undirected,155,,2.0
62.0,41.0,Undirected,164,,1.0
62.0,48.0,Undirected,162,,7.0
62.0,55.0,Undirected,159,,9.0
62.0,57.0,Undirected,163,,2.0
62.0,58.0,Undirected,160,,17.0
62.0,59.0,Undirected,161,,13.0
62.0,60.0,Undirected,166,,3.0
62.0,61.0,Undirected,165,,6.0
63.0,48.0,Undirected,168,,5.0
63.0,55.0,Undirected,174,,1.0
63.0,57.0,Undirected,170,,2.0
63.0,58.0,Undirected,171,,4.0
63.0,59.0,Undirected,167,,5.0
63.0,60.0,Undirected,173,,2.0
63.0,61.0,Undirected,172,,3.0
63.0,62.0,Undirected,169,,6.0
64.0,11.0,Undirected,184,,1.0
64.0,48.0,Undirected,177,,5.0
64.0,55.0,Undirected,175,,5.0
64.0,57.0,Undirected,183,,1.0
64.0,58.0,Undirected,179,,10.0
64.0,59.0,Undirected,182,,9.0
64.0,60.0,Undirected,181,,2.0
64.0,61.0,Undirected,180,,6.0
64.0,62.0,Undirected,176,,12.0
64.0,63.0,Undirected,178,,4.0
65.0,48.0,Undirected,187,,3.0
65.0,55.0,Undirected,194,,2.0
65.0,57.0,Undirected,193,,1.0
65.0,58.0,Undirected,189,,5.0
65.0,59.0,Undirected,192,,5.0
65.0,60.0,Undirected,191,,2.0
65.0,61.0,Undirected,190,,5.0
65.0,62.0,Undirected,188,,5.0
65.0,63.0,Undirected,185,,5.0
65.0,64.0,Undirected,186,,7.0
66.0,48.0,Undirected,200,,1.0
66.0,58.0,Undirected,196,,3.0
66.0,59.0,Undirected,197,,1.0
66.0,60.0,Undirected,203,,1.0
66.0,61.0,Undirected,202,,1.0
66.0,62.0,Undirected,198,,2.0
66.0,63.0,Undirected,201,,1.0
66.0,64.0,Undirected,195,,3.0
66.0,65.0,Undirected,199,,2.0
67.0,57.0,Undirected,204,,3.0
68.0,11.0,Undirected,206,,1.0
68.0,24.0,Undirected,207,,1.0
68.0,25.0,Undirected,205,,5.0
68.0,27.0,Undirected,208,,1.0
68.0,41.0,Undirected,210,,1.0
68.0,48.0,Undirected,209,,1.0
69.0,11.0,Undirected,213,,1.0
69.0,24.0,Undirected,214,,1.0
69.0,25.0,Undirected,211,,6.0
69.0,27.0,Undirected,215,,2.0
69.0,41.0,Undirected,217,,1.0
69.0,48.0,Undirected,216,,1.0
69.0,68.0,Undirected,212,,6.0
70.0,11.0,Undirected,221,,1.0
70.0,24.0,Undirected,222,,1.0
70.0,25.0,Undirected,218,,4.0
70.0,27.0,Undirected,223,,1.0
70.0,41.0,Undirected,224,,1.0
70.0,58.0,Undirected,225,,1.0
70.0,68.0,Undirected,220,,4.0
70.0,69.0,Undirected,219,,4.0
71.0,11.0,Undirected,230,,1.0
71.0,25.0,Undirected,233,,1.0
71.0,27.0,Undirected,226,,1.0
71.0,41.0,Undirected,232,,1.0
71.0,48.0,Undirected,231,,1.0
71.0,68.0,Undirected,228,,2.0
71.0,69.0,Undirected,227,,2.0
71.0,70.0,Undirected,229,,2.0
72.0,11.0,Undirected,236,,1.0
72.0,26.0,Undirected,234,,2.0
72.0,27.0,Undirected,235,,1.0
73.0,48.0,Undirected,237,,2.0
74.0,48.0,Undirected,238,,2.0
74.0,73.0,Undirected,239,,3.0
75.0,25.0,Undirected,242,,3.0
75.0,41.0,Undirected,244,,1.0
75.0,48.0,Undirected,243,,1.0
75.0,68.0,Undirected,241,,3.0
75.0,69.0,Undirected,240,,3.0
75.0,70.0,Undirected,245,,1.0
75.0,71.0,Undirected,246,,1.0
76.0,48.0,Undirected,252,,1.0
76.0,58.0,Undirected,253,,1.0
76.0,62.0,Undirected,251,,1.0
76.0,63.0,Undirected,250,,1.0
76.0,64.0,Undirected,247,,1.0
76.0,65.0,Undirected,248,,1.0
76.0,66.0,Undirected,249,,1.0
